team,form_score
Morocco,63.0
Japan,61.0
Spain,59.0
Portugal,56.0
England,54.0
New Zealand,52.0
France,46.0
Australia,45.0
Senegal,43.0
Haiti,42.0
Algeria,41.0
Netherlands,40.0
Norway,40.0
Ivory Coast,37.0
Argentina,37.0
United States,37.0
Belgium,36.0
Iran,35.0
Germany,35.0
Uzbekistan,34.0
Jordan,33.0
South Korea,32.0
Croatia,32.0
Austria,32.0
Tunisia,27.0
Panama,26.0
Mexico,23.0
Uruguay,23.0
Brazil,22.0
Curaçao,21.0
South Africa,21.0
Turkey,21.0
Colombia,20.0
DR Congo,19.0
Egypt,18.0
Switzerland,14.0
Canada,14.0
Ghana,13.0
Iraq,12.0
Cape Verde,11.0
Scotland,11.0
Ecuador,9.0
Czech Republic,8.0
Sweden,7.0
Qatar,6.0
Saudi Arabia,4.0
Paraguay,-13.0
Bosnia and Herzegovina,-16.0
